"","Files","myTests","forInternTests"
"1","Andriamandimby-2011-Crimean-Congo hemorrhagic.pdf","ELISA,igg elisa","virus isolation"
"2","Asnis-2010-Lymphocytic choriomeningitis virus.pdf","I dont know","serology"
"3","Balling-2014-Prevalence of antibodies against.pdf","antibodies,ELISA,immunofluorescence test,serum neutralization test","ELISA; immunofluorescence test; serum neutralization test"
"4","Bosch-2007-West Nile Virus, Venezuela.pdf","I dont know","ELISA, PRNT"
"5","Bourhy-2005-Phylogenetic relationships among r.pdf","PCR,RT-PCR,sequencing","IgG ELISA"
"6","Breed-2010-Prevalence of henipavirus and rubul.pdf","antibodies,ELISA,virus neutralization test,VNT,western blot","IgG ELISA,ELISA and VNT,Serology"
"7","Buckley-2003-Serological evidence of West Nile.pdf","nested pcr,PCR,PRNT,RT-PCR,sequencing,western blot","PRNT,Serology, Isolation"
"8","Burgueno-2013-Seroprevalence of St. Louis enc2.pdf","","PRNT"
"9","Chaudhuri-2013-First documented case of import.pdf","I dont know","RT-PCR; partial sequencing"
"10","Chevalier-2010-Environmental risk factors of W.pdf","I dont know","ELISA, seroneutralization,ELISA, PRNT"
"11","Cigarroa-Toledo-2016-Serologic Evidence of Fla.pdf","I dont know","PRNT"
"12","Coffey-2006-Serologic evidence of widespread E.pdf","PRNT","plaque reduction neutralization test (PRNT)"
"13","Corman.pdf","antibodies,ELISA,isolation","ELISA"
"14","Cornelissen-Kei-2012-Discovery of a novel Torq.pdf","PCR,sequencing","PCR"
"15","Cui-2008-Detection of Japanese encephalitis vi.pdf","antibodies,ELISA,PCR,RT-PCR","ELISA"
"16","Fomsgaard-2013-Tick-borne encephalitis virus.pdf","I dont know","RT-PCR; sequencing; ELISA; virus isolation; HI test"
"17","Forrester-2008-Western equine encephalitis sub.pdf","isolation","virus isolation, PCR"
"18","Gulati-2011-Serosurveillance for Japanese ence.pdf","hemagglutination,hemagglutination inhibition,HI,virus neutralization test,VNT","HI, NT"
"19","Halpin-2000-Isolation of Hendra virus from pte.pdf","antibodies,electron microscopy,ELISA,IFA,isolation,PCR,sequencing,serology,virus isolation,virus neutralization test","IgG ELISA"
